gene,name,ad_decision_tier,axis_membership,best_modality,tractability,tract_sm,tract_ab,n_existing_drugs,max_clinical_stage,kd_mimicking_drug,example_drugs,Tcell_log2FC_les_vs_healthy,Tcell_frac_expr_Lesional,expr_robust,ad_upreg_call_Tcell,AllCells_log2FC_les_vs_healthy,ad_genetic,sel_confidence,condition_class,novelty_tier,lead_score,ad_target_score
ADA,adenosine deaminase,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",off_axis,small_molecule,1.0,1.0,0.65,2,4.0,True,"AUTOLOGOUS CD34+ ENRICHED CELL FRACTION THAT CONTAINS CD34+ CELLS TRANSDUCED WITH RETROVIRAL VECTOR THAT ENCODES FOR THE HUMAN ADA CDNA SEQUENCE, PENTOSTATIN",1.5657,0.0384,False,up,1.1776,0.0,0.562,early-kinetic,N,0.619,0.6743
TNFRSF9,TNF receptor superfamily member 9,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.9,0.7,0.9,2,3.0,False,"URELUMAB, UTOMILUMAB",1.7735,0.0481,False,up,2.2422,0.0,0.558,early-kinetic,N,0.6139,0.5975
NISCH,nischarin,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,1.0,1.0,0.6,2,4.0,False,"MOXONIDINE, RILMENIDINE",0.9619,0.0328,False,up,0.4401,0.0,0.73,early-kinetic,N,0.5923,0.613
BAK1,BCL2 antagonist/killer 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.6,0,0.0,False,,1.454,0.0576,False,up,2.0102,0.0,0.76,activation-gated,N,0.5725,0.5066
LMNB1,lamin B1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,2.1913,0.0591,False,up,1.3327,0.0,0.716,early-kinetic,N,0.5607,0.4827
WARS1,tryptophanyl-tRNA synthetase 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,1.4533,0.025,False,up,1.6016,0.0,0.626,early-kinetic,N,0.5454,0.485
THG1L,tRNA-histidine guanylyltransferase 1 like,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,1.2118,0.0357,False,up,0.7215,0.0,0.623,early-kinetic,N,0.5208,0.4685
SLC4A2,solute carrier family 4 member 2,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.65,0,0.0,False,,1.1718,0.0362,False,up,1.0317,0.0,0.64,late-kinetic,N,0.5203,0.4686
SSBP4,single stranded DNA binding protein 4,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,1.0699,0.1157,True,up,0.8217,0.0,0.674,rest-restricted,N,0.5169,0.4672
ME2,malic enzyme 2,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,1.2605,0.0527,False,up,1.0789,0.0,0.574,early-kinetic,N,0.5158,0.4638
SREBF2,sterol regulatory element binding transcription factor 2,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.45,0.6,0,0.0,False,,1.1219,0.0436,False,up,1.2431,0.0,0.738,activation-gated,N,0.5098,0.4569
LDHB,lactate dehydrogenase B,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.65,0,0.0,False,,0.8117,0.4553,True,up,0.1653,0.0,0.759,rest-restricted,N,0.5081,0.4636
GFUS,GDP-L-fucose synthase,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.9019,0.1294,True,up,1.0981,0.0,0.679,rest-restricted,N,0.5011,0.4568
SPAST,spastin,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.65,0,0.0,False,,0.9349,0.0344,False,up,0.5363,0.0,0.582,late-kinetic,N,0.485,0.4435
YTHDF2,YTH N6-methyladenosine RNA binding protein F2,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.8118,0.1148,True,up,0.3045,0.0,0.638,early-kinetic,N,0.4839,0.4443
LDB1,LIM domain binding 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.8848,0.0315,False,up,0.4809,0.0,0.599,late-kinetic,N,0.4833,0.4428
