gene,ensembl,name,biotype,axis_membership,off_axis,novelty_tier,condition_class,best_condition,sel_confidence,evidence_tier,ad_decision_tier,best_modality,tractability,tract_sm,tract_ab,tract_pr,n_existing_drugs,max_clinical_stage,kd_mimicking_drug,example_drugs,ad_genetic,ad_overall,Tcell_log2FC_les_vs_healthy,Tcell_frac_expr_Lesional,ad_upreg_call_Tcell,AllCells_log2FC_les_vs_healthy,AllCells_frac_expr_Lesional,ad_upreg_call_AllCells,c_tractability,c_patient_upreg,c_ad_genetic,c_sel_conf,c_drug_precedent,c_offaxis,c_safety_penalty,ad_target_score
ADA,ENSG00000196839,adenosine deaminase,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.562,B: drug-precedented+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",small_molecule,1.0,1.0,0.65,0.5,2,4.0,True,"AUTOLOGOUS CD34+ ENRICHED CELL FRACTION THAT CONTAINS CD34+ CELLS TRANSDUCED WITH RETROVIRAL VECTOR THAT ENCODES FOR THE HUMAN ADA CDNA SEQUENCE, PENTOSTATIN",0.0,0.0049893280382434,1.5657,0.0384,up,1.1776,0.0425,up,1.0,0.522,0.0,0.562,1.0,1.0,0.0,0.6743
NISCH,ENSG00000010322,nischarin,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.73,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,1.0,1.0,0.6,0.5,2,4.0,False,"MOXONIDINE, RILMENIDINE",0.0,0.0,0.9619,0.0328,up,0.4401,0.1273,flat,1.0,0.321,0.0,0.73,0.6,1.0,0.0,0.613
TNFRSF9,ENSG00000049249,TNF receptor superfamily member 9,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.558,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.9,0.7,0.9,0.0,2,3.0,False,"URELUMAB, UTOMILUMAB",0.0,0.0168158833881539,1.7735,0.0481,up,2.2422,0.0105,not_detected,0.9,0.591,0.0,0.558,0.45,1.0,0.0,0.5975
EGLN2,ENSG00000269858,egl-9 family hypoxia inducible factor 2,protein_coding,off_axis,True,N,rest-restricted,Rest,0.55,B: drug-precedented+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",small_molecule,1.0,1.0,0.0,0.5,4,4.0,True,"DAPRODUSTAT, MOLIDUSTAT, ROXADUSTAT, VADADUSTAT",0.0,0.0,0.4199,0.0895,flat,0.8457,0.1343,up,1.0,0.14,0.0,0.55,1.0,1.0,0.0,0.596
CALM1,ENSG00000198668,calmodulin 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.575,B: drug-precedented+selective,AD-5: other off-axis,small_molecule,1.0,1.0,0.6,0.5,2,4.0,True,"BENZIODARONE, PRENYLAMINE",0.0,0.0,0.187,0.8141,flat,0.2721,0.8159,flat,1.0,0.062,0.0,0.575,1.0,1.0,0.0,0.5844
PTGDS,ENSG00000107317,prostaglandin D2 synthase,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.514,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.65,0.0,1,4.0,True,ANTRAFENINE,0.0,0.0055611376315539,,,,,,,1.0,0.0,0.0,0.514,1.0,1.0,0.0,0.5622
IL18RAP,ENSG00000115607,interleukin 18 receptor accessory protein,protein_coding,off_axis,True,N,rest-restricted,Rest,0.561,A: genetics+tractable+selective,"AD-3: off-axis, AD-genetics, tractable, selective",antibody,0.65,0.0,0.65,0.0,1,4.0,False,IBOCTADEKIN,0.709810013008291,0.4327636712272489,3.5639,0.0176,not_detected_Tcell,2.0665,0.0032,not_detected,0.65,0.0,0.709810013008291,0.561,0.6,1.0,0.0,0.5513
EPCAM,ENSG00000119888,epithelial cell adhesion molecule,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.403,D: tractable only,AD-5: other off-axis,antibody,1.0,0.7,1.0,0.0,10,4.0,True,"ADECATUMUMAB, CATUMAXOMAB, CITATUZUMAB BOGATOX, EDRECOLOMAB, IGN-101",0.0,0.0,,,,,,,1.0,0.0,0.0,0.403,1.0,1.0,0.0,0.5445
ITGA2,ENSG00000164171,integrin subunit alpha 2,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.725,B: drug-precedented+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",antibody,0.9,0.65,0.9,0.5,1,2.0,True,VATELIZUMAB,0.0,0.003695798546847,0.9549,0.0108,not_detected_Tcell,0.6531,0.0783,up,0.9,0.152,0.0,0.725,0.5,1.0,0.0,0.5424
CDK9,ENSG00000136807,cyclin dependent kinase 9,protein_coding,off_axis,True,N,rest-restricted,Rest,0.563,B: drug-precedented+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",small_molecule,0.9,0.9,0.0,0.55,10,3.0,True,"ALVOCIDIB, AT-7519, AZD-5438, BMS-387032, DINACICLIB",0.0,0.0170006733154962,0.3351,0.047,flat,0.5882,0.1111,up,0.9,0.112,0.0,0.563,0.75,1.0,0.0,0.5385
NDUFS5,ENSG00000168653,NADH:ubiquinone oxidoreductase subunit S5,protein_coding,off_axis,True,N,rest-restricted,Rest,0.581,C: tractable+selective,AD-5: other off-axis,small_molecule,1.0,1.0,0.65,0.0,3,4.0,False,"ME-344, METFORMIN, METFORMIN HYDROCHLORIDE",0.0,0.0,0.1565,0.4412,flat,0.488,0.6559,flat,1.0,0.052,0.0,0.581,0.6,1.0,0.0,0.5354
ITGA2B,ENSG00000005961,integrin subunit alpha 2b,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.639,C: tractable+selective,AD-5: other off-axis,small_molecule,1.0,1.0,0.9,0.5,6,4.0,False,"ABCIXIMAB, EPTIFIBATIDE, TADOCIZUMAB, TIROFIBAN, TIROFIBAN HYDROCHLORIDE",0.0,0.0014783194187388,-0.977,0.0001,not_detected_Tcell,0.2801,0.0016,not_detected,1.0,0.0,0.0,0.639,0.6,1.0,0.0,0.5342
