gene,ot_sm_tractability,ot_ab_tractability,hpa_subcellular_location,membrane_or_secreted,assigned_modality,modality_rationale,hard_to_drug,known_drugs,ad_association_score,competition_flag,protein_class,ensembl_id,ad_direct_score
ARL1,Structure with Ligand,UniProt loc high conf,Golgi apparatus,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,False,none,0.5459,False,small GTPase (ARF family),ENSG00000120805,
ARNT,Structure with Ligand,None,Nucleoplasm; Nuclear bodies,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,False,none,0.7644,False,transcription factor (bHLH-PAS),ENSG00000143437,0.0022
BRPF1,Structure with Ligand,GO CC high conf,Nucleoplasm,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,False,none,0.5147,False,bromodomain reader (BRPF scaffold),ENSG00000156983,
CBX5,None,None,Nucleoplasm,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,True,none,0.7224,False,chromatin reader (HP1a chromodomain),ENSG00000094916,
DOHH,Structure with Ligand,None,Cytosol,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,False,none,0.6065,False,enzyme (deoxyhypusine hydroxylase),ENSG00000129932,
GATA3,None,None,Nucleoplasm,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,True,none,0.8787,False,transcription factor (zinc-finger),ENSG00000107485,0.3415
GPATCH8,None,None,Nuclear speckles,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,True,none,0.6985,False,RNA-binding scaffold (G-patch),ENSG00000186566,
MPG,High-Quality Ligand,None,Nucleoplasm,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,False,none,0.3552,False,enzyme (DNA glycosylase),ENSG00000103152,
NDFIP2,None,UniProt loc high conf,Vesicles,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,True,none,0.2049,False,membrane adaptor (NEDD4 interactor),ENSG00000102471,
P4HB,Advanced Clinical,UniProt loc high conf,Endoplasmic reticulum,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,False,LOMITAPIDE MESYLATE(APPROVAL); SLX-4090(PHASE_2); IMPLITAPIDE(PHASE_2); LOMITAPIDE(APPROVAL),0.7588,True,enzyme (protein disulfide isomerase),ENSG00000185624,
RAB21,Structure with Ligand,None,not detected (IF),False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,False,none,0.7137,False,small GTPase (RAB family),ENSG00000080371,
RBCK1,None,None,not detected (IF),False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,True,none,0.7254,False,"E3 ligase (HOIL-1, LUBAC)",ENSG00000125826,0.0015
SLC33A1,None,GO CC high conf,Vesicles; Cytosol,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,True,none,0.4912,False,"transporter (acetyl-CoA, SLC33)",ENSG00000169359,
SRD5A3,Approved Drug,UniProt SigP or TMHMM,Plasma membrane; Cytosol,True,small-molecule,"PM-localized but polytopic membrane enzyme; active site intracellular, no extracellular ectodomain -> small-molecule (approved SM inhibitors); antibody not applicable despite PM signal",False,DUTASTERIDE(APPROVAL); ABIRATERONE(APPROVAL),0.548,True,enzyme (steroid 5-alpha reductase),ENSG00000128039,
STAT6,Structure with Ligand,None,Nucleoplasm; Cytosol,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,False,none,0.8791,False,transcription factor (STAT SH2),ENSG00000166888,0.2029
TFAP4,None,None,Nucleoplasm; Mitochondria,False,small-molecule,intracellular localization; no cell-surface ectodomain or secreted signal -> small-molecule,True,none,0.5188,False,transcription factor (bHLH-zip),ENSG00000090447,
