gene,dataset,compartment,mean_lesional,mean_control,log2fc,pval,padj,direction,n_cells,n_les,n_ctrl
NDFIP2,GSE147424,CD4,0.29297149181365967,0.09044387191534042,1.8464226119680633,9.931342e-31,1.5890146812268705e-29,up,3852,1743,2109
RBCK1,GSE147424,CD4,0.11753303557634354,0.046657852828502655,1.3846995530078283,4.4218232e-10,1.4149834193233346e-09,up,3852,1743,2109
DOHH,GSE147424,CD4,0.07661157101392746,0.0358843095600605,1.1238630279986146,3.2214152e-07,6.442830340347427e-07,up,3852,1743,2109
GATA3,GSE147424,CD4,0.6377413272857666,0.369560182094574,0.9967795364903219,1.0994376e-21,8.795501118362274e-21,up,3852,1743,2109
P4HB,GSE147424,CD4,0.4488023817539215,0.2623007297515869,0.9173453294123,5.4320703e-18,2.897104142515923e-17,up,3852,1743,2109
SLC33A1,GSE147424,CD4,0.06348962336778641,0.03412904962897301,0.9168720188006669,9.21277e-05,0.000147404323797673,up,3852,1743,2109
MPG,GSE147424,CD4,0.22022473812103271,0.12305165082216263,0.9118122023364137,4.7387333e-12,1.8954933109216476e-11,up,3852,1743,2109
CBX5,GSE147424,CD4,0.17846375703811646,0.1003241315484047,0.8886373203446106,5.625827e-09,1.5002205107824313e-08,up,3852,1743,2109
STAT6,GSE147424,CD4,0.10241809487342834,0.05890709534287453,0.8297657519645681,2.9272574e-06,5.2040130766626034e-06,up,3852,1743,2109
ARL1,GSE147424,CD4,0.12568862736225128,0.07434555888175964,0.79518910088553,6.1971676e-08,1.4164954466520741e-07,up,3852,1743,2109
SRD5A3,GSE147424,CD4,0.0492277517914772,0.03091667965054512,0.6843833102422832,0.0006024757,0.0008110071842869123,up,3852,1743,2109
BRPF1,GSE147424,CD4,0.03970915451645851,0.028230909258127213,0.50052271335056,0.008669703,0.010472307247774941,up,3852,1743,2109
ARNT,GSE147424,CD4,0.06667733937501907,0.04779620096087456,0.4940503589213783,0.009163269,0.010472307247774941,up,3852,1743,2109
GPATCH8,GSE147424,CD4,0.18807071447372437,0.1616867482662201,0.23766021378984395,0.0006082554,0.0008110071842869123,up,3852,1743,2109
RAB21,GSE147424,CD4,0.07855899631977081,0.07464578002691269,0.07657461847721644,0.047097113,0.050236920515696205,ns,3852,1743,2109
TFAP4,GSE147424,CD4,0.002158113056793809,0.0027424825821071863,-0.3461335760227142,0.6789783,0.6789783239364624,ns,3852,1743,2109
NDFIP2,GSE147424,Tcell,0.2815645933151245,0.08487120270729065,1.8763326825143818,2.9455837e-33,4.712933892259577e-32,up,4227,1829,2398
