gene,ensembl_id,condition,collapse_score,rank_in_cond,pctile_in_cond,n_de,effector_mean,is_anchor,stim_class,cs_Rest,cs_Stim8hr,cs_Stim48hr
GATA3,ENSG00000107485,Rest,0.9482113303050116,1.0,100.0,888,-0.9638335797878907,True,constitutive/rest,0.9482113303050116,0.9336907578660131,0.9097128128169322
STAT6,ENSG00000166888,Stim48hr,0.9012142342801382,2.0,99.91119005328596,1128,-0.94148555609151,True,stim-only(detected),,0.8655981856213787,0.9012142342801382
IL4R,ENSG00000077238,Stim48hr,0.612954761389236,3.0,99.82238010657194,729,-3.313427730774854,True,stim-only(detected),,0.39888941358768254,0.612954761389236
TPD52,ENSG00000076554,Rest,0.48513405569128065,2.0,99.90825688073394,434,-1.0063234179746468,False,constitutive/rest,0.48513405569128065,0.3922879492554459,0.20266653302422727
MYB,ENSG00000118513,Rest,0.47729477668455,3.0,99.81651376146789,1325,0.2418417323503536,False,constitutive/rest,0.47729477668455,0.2066848590833853,0.040980210292668
DDRGK1,ENSG00000198171,Stim8hr,0.43545669011847693,3.0,99.82905982905983,1706,-1.4189163532382107,False,activation-gated,0.11137192736334947,0.43545669011847693,-0.15759361913983772
CLCC1,ENSG00000121940,Stim48hr,0.41520169357636477,4.0,99.7335701598579,1732,-0.3880170917323549,False,activation-gated,0.03694164215963939,-0.268378327226744,0.41520169357636477
EP300,ENSG00000100393,Rest,0.4038507660526457,4.0,99.72477064220183,74,-0.7220472240329512,False,constitutive/rest,0.4038507660526457,-0.1669172573358548,0.17475286477955562
LAT,ENSG00000213658,Stim48hr,0.4001207704379729,5.0,99.64476021314387,3187,-0.883106656141355,False,stim-only(detected),,-0.25568089531652616,0.4001207704379729
TMX1,ENSG00000139921,Stim48hr,0.3990704919689944,6.0,99.55595026642983,1960,-0.3204939834118557,False,stim-only(detected),,-0.27814837619894733,0.3990704919689944
VAV1,ENSG00000141968,Stim48hr,0.39619091486583174,7.0,99.46714031971581,3575,-0.5595642468116834,False,activation-gated,0.05819745290466298,-0.30193444686368454,0.39619091486583174
GRSF1,ENSG00000132463,Stim48hr,0.3918037055332172,8.0,99.37833037300177,1849,-1.6086018583715758,False,stim-only(detected),,,0.3918037055332172
ITK,ENSG00000113263,Stim48hr,0.39048039570248255,9.0,99.28952042628775,2566,0.536201718064119,False,stim-only(detected),,-0.2330694820648267,0.39048039570248255
PTPRC,ENSG00000081237,Stim48hr,0.385791505457671,10.0,99.20071047957371,3226,0.5523858381152581,False,activation-gated,0.03791047434015263,-0.12853066129924626,0.385791505457671
PHOSPHO2,ENSG00000144362,Stim8hr,0.3838807187556611,6.0,99.57264957264957,425,-0.8170568510646299,False,stim-only(detected),,0.3838807187556611,
CD3G,ENSG00000160654,Stim48hr,0.38174749299846,11.0,99.11190053285968,1374,-0.8635354509670299,False,stim-only(detected),,-0.27450004412578227,0.38174749299846
SLC39A6,ENSG00000141424,Stim8hr,0.38120837348272885,7.0,99.48717948717949,289,-0.30697880868417216,False,activation-gated,0.10867009511550822,0.38120837348272885,0.14847448838158278
KDM8,ENSG00000155666,Stim48hr,0.37428863342108204,12.0,99.02309058614564,120,-1.6261463500170155,False,stim-only(detected),,,0.37428863342108204
PLCG1,ENSG00000124181,Stim48hr,0.3719452103676138,13.0,98.93428063943162,2218,-1.2466568326680847,False,stim-only(detected),,-0.24184938384947186,0.3719452103676138
UBA5,ENSG00000081307,Stim8hr,0.36745049339428626,8.0,99.40170940170941,573,-0.41892936400419917,False,activation-gated,0.10768860282226214,0.36745049339428626,-0.09129449550469959
ELP3,ENSG00000134014,Stim8hr,0.36715463362337514,9.0,99.31623931623932,996,-0.7221291076846095,False,activation-gated,0.14911906118245874,0.36715463362337514,0.10897410629928801
MITD1,ENSG00000158411,Stim48hr,0.3635663769825641,14.0,98.84547069271758,250,-1.529621233302172,False,stim-only(detected),,,0.3635663769825641
UFL1,ENSG00000014123,Stim8hr,0.3634068340788168,10.0,99.23076923076923,1321,-0.5940890678206977,False,activation-gated,0.06426145711471565,0.3634068340788168,-0.08736865537827997
UFM1,ENSG00000120686,Stim8hr,0.36153605983369025,11.0,99.14529914529915,2279,-0.25973660529878323,False,activation-gated,-0.03843173955585309,0.36153605983369025,-0.14113546256362983
ANKRD61,ENSG00000157999,Stim48hr,0.3578488110571522,15.0,98.75666074600356,1177,-0.1265337481122627,False,stim-only(detected),,-0.18256756433039653,0.3578488110571522
LRP5,ENSG00000162337,Stim48hr,0.3570962479026021,16.0,98.66785079928952,295,-0.20688139868792954,False,stim-only(detected),,,0.3570962479026021
HPS1,ENSG00000107521,Stim8hr,0.3563773813271641,12.0,99.05982905982907,303,-1.033525012483234,False,activation-gated,0.018306914790219158,0.3563773813271641,0.2752728146772847
AKAP17A,ENSG00000197976,Stim48hr,0.3549806479211897,17.0,98.57904085257549,86,-1.5641579606766123,False,stim-only(detected),,0.1424537479582879,0.3549806479211897
RBPJ,ENSG00000168214,Stim48hr,0.35373912300482235,18.0,98.49023090586145,120,-1.1582432984922626,False,activation-gated,0.07420411155751203,0.22658836667527987,0.35373912300482235
ICE2,ENSG00000128915,Stim48hr,0.35322027469340644,19.0,98.40142095914743,85,-1.157281572693094,False,stim-only(detected),,,0.35322027469340644
TMEM263,ENSG00000151135,Stim48hr,0.3527057558501219,20.0,98.3126110124334,251,0.12331873835120905,False,stim-only(detected),,,0.3527057558501219
MTG1,ENSG00000148824,Stim48hr,0.351041147300636,21.0,98.22380106571936,1894,-1.3935616684653338,False,stim-only(detected),,,0.351041147300636
CALCOCO2,ENSG00000136436,Stim48hr,0.34998039624222277,22.0,98.13499111900533,484,-0.041270078961910706,False,stim-only(detected),,-0.23691910392455343,0.34998039624222277
NFKB2,ENSG00000077150,Stim8hr,0.3496812840467359,13.0,98.97435897435898,1350,-1.0045337636228295,False,activation-gated,0.1647937725773416,0.3496812840467359,0.2378199307466978
DNAAF5,ENSG00000164818,Stim48hr,0.34913824646719643,23.0,98.04618117229128,145,-0.574846936960198,False,stim-only(detected),,,0.34913824646719643
CBLB,ENSG00000114423,Stim8hr,0.34865902232310325,14.0,98.88888888888889,1028,-1.301911788549269,False,stim-only(detected),,0.34865902232310325,-0.11883449085145215
INPP5D,ENSG00000168918,Stim48hr,0.3485378232228882,24.0,97.95737122557726,536,-0.42305465701044226,False,stim-only(detected),,,0.3485378232228882
RBM10,ENSG00000182872,Stim48hr,0.3419814079659476,25.0,97.86856127886323,1505,-0.6059892782763663,False,activation-gated,0.03785533895402876,-0.034721268953092695,0.3419814079659476
NPC2,ENSG00000119655,Stim48hr,0.3403003978590164,26.0,97.7797513321492,2420,-0.6689263742493201,False,activation-gated,-0.045964439442659176,-0.024307523164732604,0.3403003978590164
