gene,ensembl_id,tractability_bucket,sm_bucket_detail,has_antibody_bucket,has_protac_bucket,pr_bucket_detail,ad_association_score,gwas_ad_support,gwas_trait_hits,off_axis,is_anchor,stim_class,collapse_score,cs_Rest,cs_Stim8hr,cs_Stim48hr,stim_specificity
GATA3,ENSG00000107485,hard/undrugged,,False,False,,0.3415,True,Asthma; Asthma (adult onset); Asthma (moderate or severe); Asthma in any disease; Asthma or chronic rhinosinusitis; Atopic dermatitis; B-cell lymphoblastic leukemia or adult-onset asthma (pleiotropy); Nonatopic asthma; adult onset asthma; asthma; atopic eczema,True,True,constitutive/rest,0.9482,0.9482113303050116,0.9336907578660132,0.9097128128169322,constitutive
STAT6,ENSG00000166888,ligandable pocket (SM discovery),Structure with Ligand,False,True,Small Molecule Binder,0.2029,True,"Adult asthma; Age of onset of adult onset asthma; Age of onset of childhood onset asthma; Allergic disease (asthma, hay fever and/or eczema) (age of onset); Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis); Allergic disease (asthma, hay fever or eczema); Allergic sensitization; Allergy; Asthma; Asthma (adult onset); Asthma (childhood onset); Asthma (moderate or severe); Asthma in any disease; Asthma onset (childhood vs adult); Asthma or allergic disease (pleiotropy); Asthma or chronic rhinosinusitis; Atopic asthma; Atopic dermatitis; B-cell lymphoblastic leukemia or adult-onset asthma (pleiotropy); Eczema; Eczematoid dermatitis; Hay fever and/or eczema; IgE levels; Nonatopic asthma; Pediatric asthma; adult onset asthma; age of onset of asthma; age of onset of childhood onset asthma; allergic disease; allergic rhinitis; allergic sensitization measurement; asthma; atopic asthma; atopic eczema; childhood onset asthma; serum IgE amount",False,True,stim-only(detected),0.9012,,0.8655981856213787,0.9012142342801382,activation-gated (spares Rest)
IL4R,ENSG00000077238,antibody/surface,,True,False,,0.6101,True,Age of onset of childhood onset asthma; Asthma; Asthma (adult onset); Asthma (childhood onset); Asthma (time to onset); Asthma in any disease; Asthma onset (childhood vs adult); Asthma or chronic rhinosinusitis; Atopic asthma; Eczema; Eczematoid dermatitis; Hay fever and/or eczema; IgE levels; Nonatopic asthma; Pediatric asthma; Self-reported allergy; Serum IgE levels; adult onset asthma; age of onset of childhood onset asthma; allergic disease; allergic rhinitis; asthma; atopic asthma; childhood onset asthma; serum IgE amount,False,True,stim-only(detected),0.613,,0.3988894135876825,0.612954761389236,activation-gated (spares Rest)
TPD52,ENSG00000076554,hard/undrugged,,False,False,,0.0645,True,Asthma exacerbations in inhaled corticosteroid treatment; asthma exacerbation measurement,True,False,constitutive/rest,0.4851,0.4851340556912806,0.3922879492554459,0.2026665330242272,constitutive
MYB,ENSG00000118513,ligandable pocket (SM discovery),High-Quality Ligand,False,True,Small Molecule Binder,0.0267,True,Serum IgE levels,True,False,constitutive/rest,0.4773,0.47729477668455,0.2066848590833853,0.040980210292668,constitutive
DDRGK1,ENSG00000198171,antibody/surface,,True,False,,,False,,True,False,activation-gated,0.4355,0.1113719273633494,0.4354566901184769,-0.1575936191398377,activation-gated (spares Rest)
CLCC1,ENSG00000121940,antibody/surface,,True,False,,,False,,True,False,activation-gated,0.4152,0.0369416421596393,-0.268378327226744,0.4152016935763647,activation-gated (spares Rest)
EP300,ENSG00000100393,ligandable pocket (SM discovery),Structure with Ligand,False,True,Small Molecule Binder,,False,,True,False,constitutive/rest,0.4039,0.4038507660526457,-0.1669172573358548,0.1747528647795556,constitutive
LAT,ENSG00000213658,antibody/surface,,True,False,,,False,,True,False,stim-only(detected),0.4001,,-0.2556808953165261,0.4001207704379729,activation-gated (spares Rest)
TMX1,ENSG00000139921,antibody/surface,,True,False,,,False,(exposure-only: allergen exposure measurement),True,False,stim-only(detected),0.3991,,-0.2781483761989473,0.3990704919689944,activation-gated (spares Rest)
