gene,condition,th2_z,th1_z,hardened_pass,pass_kd,not_essential,no_offtarget,well_powered,donor_evidence,stability_score,atlas_class,atlas_rank,stageA_score
GATA3,Rest,-3.345888327021668,0.03090518283511567,True,True,True,True,True,robust,1.0,concordant,0.9997393797237424,4.334588832702167
ARNT,Stim48hr,-3.2414184659662277,0.313464271103314,True,True,True,True,True,robust,1.0,moderate,0.7793193717277487,4.324141846596623
GATA3,Stim8hr,-3.8717660085082395,-0.6536534904185922,True,True,True,True,True,robust,0.75,concordant,0.9961793173713704,4.1371766008508235
ARL1,Stim48hr,-2.675417642673378,-0.41298690422321394,True,True,True,True,True,robust,0.75,concordant,0.9109947643979056,4.017541764267338
TFAP4,Stim48hr,-2.6677636030210694,0.4287534990303889,True,True,True,True,True,robust,0.75,concordant,0.9827225130890052,4.0167763603021065
RAB21,Stim48hr,-2.528887840087418,-0.4383896356849852,True,True,True,True,True,robust,0.75,moderate,0.85,4.002888784008742
SMIM7,Stim48hr,-2.9681391568405746,-0.606473470120058,True,True,True,True,True,robust,0.5625,moderate,0.8408376963350785,3.8593139156840577
AMBRA1,Stim48hr,-2.743716736746609,-0.6325205214871394,True,True,True,True,True,robust,0.5625,novel_selective,0.4387434554973822,3.836871673674661
SEC24A,Stim48hr,-2.6977311136313,-0.8696687610246154,True,True,True,True,True,robust,0.5625,moderate,0.5431937172774869,3.83227311136313
P4HB,Stim8hr,-2.3130270700750013,0.3870068808924587,True,True,True,True,True,robust,0.5,moderate,0.7564951604686704,3.7313027070075
SLC33A1,Rest,-2.1866698877485673,-0.21031122187276205,True,True,True,True,True,robust,0.5,moderate,0.8652593171748763,3.718666988774857
GPATCH8,Stim48hr,-2.045359716675241,-0.4298422491348565,True,True,True,True,True,robust,0.5,novel_selective,0.1929319371727748,3.704535971667524
NDFIP2,Stim48hr,-2.480340827290894,-0.5220270846860201,True,True,True,True,True,robust,0.375,moderate,0.625392670157068,3.6230340827290894
TAF13,Rest,-2.4471027829878715,-0.7674011545073188,True,True,True,True,True,robust,0.375,novel_selective,0.3653896273130049,3.619710278298787
CBX5,Stim48hr,-2.4320053446491308,0.8759570631690875,True,True,True,True,True,robust,0.375,concordant,0.9264397905759162,3.618200534464913
MYO9A,Stim8hr,-2.308224734317819,-0.7993434816614547,True,True,True,True,True,robust,0.375,moderate,0.7623535404992359,3.605822473431782
GPATCH8,Rest,-2.280426225702975,-0.8248044901465896,True,True,True,True,True,robust,0.375,novel_selective,0.470158978368517,3.6030426225702974
MIA2,Rest,-2.2708400794838743,-0.5627756322899645,True,True,True,True,True,robust,0.375,moderate,0.7263487099296325,3.6020840079483873
BRPF1,Rest,-2.2564683079520584,0.6309586259462197,True,True,True,True,True,robust,0.375,moderate,0.7047172270002606,3.6006468307952058
UFC1,Rest,-2.0870828342911136,-0.6626452104578746,True,True,True,True,True,robust,0.375,concordant,0.9841021631482928,3.5837082834291114
RBCK1,Stim48hr,-2.079682373974454,0.5406175450361583,True,True,True,True,True,robust,0.375,moderate,0.5581151832460733,3.5829682373974454
SRD5A3,Rest,-2.0478963244373505,0.9824935454919677,True,True,True,True,True,robust,0.375,moderate,0.8733385457388585,3.579789632443735
RAB21,Stim8hr,-3.033130935889304,-0.9645032670625345,True,True,True,True,True,untested,0.75,concordant,0.914416709118696,3.0533130935889305
ARL1,Rest,-2.9874402308467896,0.2670157045137959,True,True,True,True,True,untested,0.75,concordant,0.9736773520979932,3.048744023084679
UBA6,Stim48hr,-2.7185340875268453,0.323488312286518,True,True,True,True,True,untested,0.75,not_in_atlas,,3.0218534087526847
SCAF1,Stim8hr,-2.6466650851943228,-0.4457825502956669,True,True,True,True,True,untested,0.75,not_in_atlas,,3.0146665085194324
RABEPK,Rest,-2.910096310938574,-0.8558630927976019,True,True,True,True,True,untested,0.5625,not_in_atlas,,2.8535096310938575
ZFYVE1,Stim48hr,-2.8832157729222114,-0.9543282070674162,True,True,True,True,True,untested,0.5625,not_in_atlas,,2.850821577292221
TMEM263,Rest,-2.7578955213127996,0.6118682338490576,True,True,True,True,True,untested,0.5625,moderate,0.8939275475632004,2.83828955213128
PPT1,Stim8hr,-2.745535959281356,-0.7791482326979959,True,True,True,True,True,untested,0.5625,not_in_atlas,,2.8370535959281358
SAP130,Stim48hr,-2.6966136740856856,-0.7973217638152815,True,True,True,True,True,weak,0.5625,novel_selective,0.3267015706806283,2.8321613674085686
ADRM1,Rest,-2.4937385060239876,-0.030035629615533892,True,True,True,True,True,untested,0.5,concordant,0.9447485014334116,2.7493738506023986
RABGAP1,Rest,-2.428748749047172,-0.48524326665187967,True,True,True,True,True,untested,0.5,not_in_atlas,,2.742874874904717
PLEKHA2,Rest,-2.427587151896545,-0.1750338485752205,True,True,True,True,True,untested,0.5,not_in_atlas,,2.7427587151896544
CNDP2,Rest,-2.407988077957953,0.09795162164709041,True,True,True,True,True,untested,0.5,not_in_atlas,,2.7407988077957954
PDIA5,Rest,-2.4010337034645635,0.12000803595616802,True,True,True,True,True,untested,0.5,not_in_atlas,,2.740103370346456
SEC23A,Stim8hr,-2.3616151877288205,-0.49621565428280967,True,True,True,True,True,untested,0.5,moderate,0.674223127865512,2.736161518772882
TMEM200A,Stim8hr,-2.3224075121658143,-0.4402856946182662,True,True,True,True,True,untested,0.5,not_in_atlas,,2.7322407512165814
NUDT8,Stim48hr,-2.3128015140475533,-0.4398875002696766,True,True,True,True,True,untested,0.5,not_in_atlas,,2.7312801514047553
POU2AF1,Stim8hr,-2.3032811612062605,-0.16559374583614606,True,True,True,True,True,untested,0.5,not_in_atlas,,2.730328116120626
ARL6IP4,Rest,-2.2325644802400015,-0.24020895078618362,True,True,True,True,True,untested,0.5,not_in_atlas,,2.7232564480240002
CHI3L2,Stim48hr,-2.2056136151872257,-0.15681268039348653,True,True,True,True,True,untested,0.5,not_in_atlas,,2.7205613615187225
RAB21,Rest,-2.178034214138259,-0.17715426741818585,True,True,True,True,True,untested,0.5,moderate,0.6114151681000782,2.717803421413826
THAP7,Stim48hr,-2.166198507470887,-0.3030053828841665,True,True,True,True,True,untested,0.5,moderate,0.8795811518324608,2.716619850747089
C2CD5,Rest,-2.1637590037126397,-0.4269757249679752,True,True,True,True,True,untested,0.5,concordant,0.9001824341933803,2.716375900371264
TGOLN2,Stim8hr,-2.125254846540074,-0.46473492014263107,True,True,True,True,True,untested,0.5,not_in_atlas,,2.7125254846540074
FKBP3,Stim48hr,-2.1251001575527817,-0.39736764014843406,True,True,True,True,True,untested,0.5,not_in_atlas,,2.712510015755278
DPP4,Stim8hr,-2.1199289793334515,0.01667750041986637,True,True,True,True,True,untested,0.5,not_in_atlas,,2.711992897933345
NUDT8,Stim8hr,-2.1174585530070678,-0.4549968228571329,True,True,True,True,True,untested,0.5,not_in_atlas,,2.7117458553007068
IKBKB,Stim8hr,-2.116545498469835,-0.11503404279328765,True,True,True,True,True,untested,0.5,concordant,0.9704533876719308,2.7116545498469833
TRIM56,Stim8hr,-2.1149904036738003,-0.28596721981711404,True,True,True,True,True,untested,0.5,not_in_atlas,,2.71149904036738
USP33,Rest,-2.1041293221261173,0.4306639958921496,True,True,True,True,True,untested,0.5,not_in_atlas,,2.710412932212612
HSF2,Stim8hr,-2.0988891605413413,-0.2973882092252695,True,True,True,True,True,untested,0.5,moderate,0.5063678043810494,2.709888916054134
ARHGAP21,Stim48hr,-2.0781492065910165,0.04017388860652758,True,True,True,True,True,untested,0.5,not_in_atlas,,2.707814920659102
P2RY8,Stim48hr,-2.065546362728181,-0.36687317656525936,True,True,True,True,True,untested,0.5,not_in_atlas,,2.706554636272818
IL32,Stim48hr,-2.041946399815426,-0.39841284797518167,True,True,True,True,True,untested,0.5,not_in_atlas,,2.7041946399815426
ERLIN1,Stim48hr,-2.034850638803778,-0.14701675338035414,True,True,True,True,True,untested,0.5,not_in_atlas,,2.703485063880378
