gene,condition,th2_z,th1_z,hardened_pass,donor_evidence,stability_score,atlas_class,coherence,coh_z_vs_null,drug_tier,drug_class,ubiquitin_system,validity,novelty,priority
AMBRA1,Stim48hr,-2.743716736746609,-0.6325205214871394,True,robust,0.5625,novel_selective,0.211,2.65,0,unannotated,False,4.579679184186652,1.0,4.579679184186652
TAF13,Rest,-2.4471027829878715,-0.7674011545073188,True,robust,0.375,novel_selective,0.139,1.28,0,unannotated,False,4.1467756957469675,1.0,4.1467756957469675
GPATCH8,Stim48hr,-2.045359716675241,-0.4298422491348565,True,robust,0.5,novel_selective,0.072,0.01,0,unannotated,False,4.01258992916881,1.0,4.01258992916881
GPATCH8,Rest,-2.280426225702975,-0.8248044901465896,True,robust,0.375,novel_selective,0.074,0.04,0,unannotated,False,3.9501065564257436,1.0,3.9501065564257436
SLC33A1,Rest,-2.1866698877485673,-0.21031122187276205,True,robust,0.5,moderate,0.053,-0.34,3,small-molecule,False,4.046667471937142,0.5,3.9350006039528567
ARNT,Stim48hr,-3.2414184659662277,0.313464271103314,True,robust,1.0,moderate,0.076,0.09,1,TF (hard),False,4.821604616491557,0.5,3.9162034623686677
HAT1,Stim48hr,-2.3925551228255375,-0.870465541197033,True,untested,0.375,not_in_atlas,0.153,1.56,3,small-molecule,False,3.1681387807063843,0.8,3.751324902635746
DPP4,Stim8hr,-2.1199289793334515,0.01667750041986637,True,untested,0.5,not_in_atlas,0.117,0.85,3,small-molecule,False,3.136232244833363,0.8,3.722609020350027
CNDP2,Rest,-2.407988077957953,0.09795162164709041,True,untested,0.5,not_in_atlas,0.015,-1.07,3,small-molecule,False,3.101997019489488,0.8,3.6917973175405394
SLC35G1,Stim48hr,-2.009348127520867,-0.8955226113755311,True,untested,0.375,not_in_atlas,0.134,1.18,3,small-molecule,False,3.0248370318802165,0.8,3.6223533286921947
P2RY8,Stim48hr,-2.065546362728181,-0.36687317656525936,True,untested,0.5,not_in_atlas,0.052,-0.37,3,small-molecule,False,3.0163865906820453,0.8,3.6147479316138407
NIPA1,Stim48hr,-2.057915499221872,-0.6457377003150211,True,untested,0.375,not_in_atlas,0.106,0.66,3,small-molecule,False,2.971978874805468,0.8,3.5747809873249214
STK38,Rest,-2.3505631960220112,-0.9638143897821356,True,untested,0.375,not_in_atlas,0.007,-1.22,3,small-molecule,False,2.962640799005503,0.8,3.566376719104953
UBA6,Stim48hr,-2.7185340875268453,0.323488312286518,True,untested,0.75,not_in_atlas,0.283,4.03,0,unannotated,True,3.929633521881711,0.8,3.53667016969354
KDM4C,Stim48hr,-2.2090363615478714,-0.9731594160531112,True,untested,0.375,not_in_atlas,0.058,-0.25,3,small-molecule,False,2.927259090386968,0.8,3.534533181348271
CTSD,Stim8hr,-2.201895832802358,-0.931084405683619,True,untested,0.375,not_in_atlas,0.052,-0.38,3,small-molecule,False,2.9254739582005893,0.8,3.5329265623805304
ATP2C1,Rest,-2.0672964826483087,-0.9752167552199634,True,untested,0.375,not_in_atlas,0.06,-0.22,3,small-molecule,False,2.8918241206620774,0.8,3.5026417085958697
RAB21,Stim48hr,-2.528887840087418,-0.4383896356849852,True,robust,0.75,moderate,0.19,2.25,0,unannotated,False,4.663471960021854,0.5,3.4976039700163906
SAP130,Stim48hr,-2.6966136740856856,-0.7973217638152815,True,weak,0.5625,novel_selective,0.178,2.02,0,unannotated,False,3.4891534185214215,1.0,3.4891534185214215
IL32,Stim48hr,-2.041946399815426,-0.39841284797518167,True,untested,0.5,not_in_atlas,0.047,-0.47,2,surface/antibody,False,3.0104865999538566,0.8,3.309437939958471
SMIM7,Stim48hr,-2.9681391568405746,-0.606473470120058,True,robust,0.5625,moderate,0.11,0.72,0,unannotated,False,4.394534789210144,0.5,3.2959010919076075
GATA3,Rest,-3.345888327021668,0.03090518283511567,True,robust,1.0,concordant,1.0,17.65,1,TF (hard),False,5.336472081755417,0.1,3.2350596449654794
