gene,condition,coherence,best_anchor,coh_z_vs_null,r_GATA3,r_STAT6,r_IL4R
GATA3,Stim8hr,1.0,GATA3,17.65,1.0,-0.045,0.016
GATA3,Rest,1.0,GATA3,17.65,1.0,-0.146,0.046
UBA6,Stim48hr,0.283,STAT6,4.03,-0.074,0.283,0.129
CBX5,Stim48hr,0.232,STAT6,3.04,0.076,0.232,0.207
AMBRA1,Stim48hr,0.211,GATA3,2.65,0.211,-0.018,-0.022
RAB21,Rest,0.211,GATA3,2.66,0.211,-0.175,-0.138
RAB21,Stim48hr,0.19,GATA3,2.25,0.19,-0.272,-0.155
SLC1A6,Stim48hr,0.18,STAT6,2.06,0.086,0.18,0.162
TFAP4,Stim48hr,0.178,STAT6,2.02,-0.019,0.178,0.167
SAP130,Stim48hr,0.178,STAT6,2.02,-0.1,0.178,0.139
CCL22,Stim48hr,0.17,IL4R,1.88,0.037,0.083,0.17
TECPR1,Rest,0.169,GATA3,1.85,0.169,-0.027,-0.027
RABEPK,Rest,0.169,IL4R,1.85,-0.043,-0.024,0.169
MOB3C,Stim48hr,0.165,GATA3,1.77,0.165,-0.097,-0.0
ATL3,Rest,0.165,GATA3,1.78,0.165,-0.063,-0.143
ADRM1,Rest,0.16,GATA3,1.69,0.16,-0.045,0.013
USP33,Rest,0.158,STAT6,1.65,-0.104,0.158,-0.045
CD96,Stim48hr,0.156,IL4R,1.6,-0.035,0.107,0.156
GLI2,Stim48hr,0.153,GATA3,1.55,0.153,-0.058,0.115
HAT1,Stim48hr,0.153,IL4R,1.56,0.058,0.032,0.153
NDFIP2,Stim48hr,0.15,STAT6,1.49,0.07,0.15,0.053
DACT1,Stim8hr,0.146,GATA3,1.42,0.146,0.037,-0.027
IRF2BP2,Rest,0.145,IL4R,1.4,-0.064,-0.06,0.145
SHPRH,Rest,0.141,IL4R,1.31,-0.098,-0.0,0.141
TRIM56,Stim8hr,0.141,GATA3,1.32,0.141,0.037,0.005
FKBP1B,Rest,0.14,GATA3,1.3,0.14,-0.007,-0.017
TAF13,Rest,0.139,IL4R,1.28,0.102,-0.054,0.139
TGOLN2,Stim8hr,0.138,STAT6,1.25,-0.004,0.138,0.128
SORL1,Stim48hr,0.138,GATA3,1.26,0.138,-0.105,0.065
IFI16,Rest,0.136,GATA3,1.23,0.136,-0.116,-0.125
ZNF2,Stim8hr,0.135,GATA3,1.2,0.135,0.059,-0.003
SLC35G1,Stim48hr,0.134,GATA3,1.18,0.134,-0.016,-0.056
OVCA2,Stim48hr,0.134,STAT6,1.19,-0.036,0.134,0.038
RNASE6,Rest,0.133,GATA3,1.16,0.133,-0.074,-0.08
ARL6IP4,Rest,0.125,IL4R,1.03,-0.025,0.102,0.125
FKBP14,Rest,0.121,IL4R,0.94,-0.08,0.096,0.121
SRD5A3,Rest,0.119,GATA3,0.9,0.119,-0.042,-0.18
TCEANC,Stim8hr,0.119,STAT6,0.9,0.061,0.119,0.045
BET1L,Stim48hr,0.118,GATA3,0.88,0.118,-0.023,-0.04
DPP4,Stim8hr,0.117,STAT6,0.85,0.065,0.117,-0.001
MIA2,Rest,0.117,STAT6,0.87,-0.174,0.117,-0.107
GLIS2,Stim48hr,0.116,STAT6,0.84,-0.014,0.116,0.093
ARL1,Stim48hr,0.115,GATA3,0.82,0.115,-0.205,-0.172
HNRNPA1,Rest,0.111,GATA3,0.74,0.111,-0.081,-0.063
HAS3,Stim8hr,0.111,STAT6,0.75,-0.041,0.111,0.039
SMIM7,Stim48hr,0.11,GATA3,0.72,0.11,-0.157,-0.052
CEP131,Stim8hr,0.107,GATA3,0.67,0.107,0.052,0.016
SCAF1,Stim8hr,0.107,STAT6,0.67,0.098,0.107,0.086
ITIH4,Rest,0.106,IL4R,0.66,0.005,-0.023,0.106
NIPA1,Stim48hr,0.106,GATA3,0.66,0.106,-0.126,-0.136
DCAF7,Stim48hr,0.106,GATA3,0.65,0.106,-0.079,-0.075
YAF2,Stim8hr,0.103,GATA3,0.6,0.103,0.041,0.046
DNAJB9,Rest,0.102,STAT6,0.58,-0.186,0.102,-0.104
ANKRD11,Rest,0.102,IL4R,0.58,0.076,-0.108,0.102
ARL1,Rest,0.1,STAT6,0.55,-0.025,0.1,-0.155
LMOD3,Stim48hr,0.1,GATA3,0.55,0.1,-0.027,-0.117
