target_gene,Rest,Stim8hr,Stim48hr,n_cond,context
ACTA2,1,0,0,1,rest_only
AGPS,1,0,0,1,rest_only
AHSA1,1,0,0,1,rest_only
AKR1C1,1,0,0,1,rest_only
ALAS2,0,0,1,1,stim_induced
AMBRA1,0,0,1,1,stim_induced
AOPEP,0,1,0,1,stim_induced
APBA3,1,0,0,1,rest_only
ARL1,1,0,1,2,mixed
ARNT,0,0,1,1,stim_induced
AUP1,1,0,0,1,rest_only
BCL7A,1,0,0,1,rest_only
BFAR,1,0,0,1,rest_only
C21orf91,0,1,0,1,stim_induced
CCL22,0,0,1,1,stim_induced
CD96,0,0,1,1,stim_induced
CFH,1,0,0,1,rest_only
CMKLR1,1,0,0,1,rest_only
COMMD1,0,0,1,1,stim_induced
COQ8B,0,0,1,1,stim_induced
DAB2,1,0,0,1,rest_only
DCAF17,0,0,1,1,stim_induced
DNAJB9,0,1,0,1,stim_induced
DPP4,0,1,0,1,stim_induced
E2F3,1,0,0,1,rest_only
ELAVL1,0,0,1,1,stim_induced
EPHA1,1,0,0,1,rest_only
ERRFI1,1,0,0,1,rest_only
ETFA,1,0,0,1,rest_only
FNBP1,1,0,0,1,rest_only
FRMD6,0,1,0,1,stim_induced
GATA3,1,1,0,2,mixed
GGACT,0,0,1,1,stim_induced
GPATCH8,1,0,0,1,rest_only
HBB,0,1,0,1,stim_induced
HNRNPA1,1,0,0,1,rest_only
HNRNPA2B1,1,0,0,1,rest_only
HNRNPAB,1,0,0,1,rest_only
HSFX2,1,0,0,1,rest_only
IFT172,0,0,1,1,stim_induced
IL13RA1,1,0,0,1,rest_only
IL18RAP,1,0,0,1,rest_only
IL2RA,0,1,0,1,stim_induced
IRAK2,0,0,1,1,stim_induced
IRF2BP2,1,0,0,1,rest_only
IRGQ,0,0,1,1,stim_induced
ITIH4,1,0,0,1,rest_only
KCTD12,0,1,0,1,stim_induced
KDM2A,0,0,1,1,stim_induced
KIAA0753,0,1,0,1,stim_induced
LGALS2,1,0,0,1,rest_only
LMOD3,1,0,0,1,rest_only
MAGED1,1,0,0,1,rest_only
MAZ,1,0,0,1,rest_only
MCTP1,0,0,1,1,stim_induced
MED19,1,0,0,1,rest_only
MIA2,1,0,0,1,rest_only
MISP,0,1,0,1,stim_induced
MPG,0,0,1,1,stim_induced
MREG,1,0,0,1,rest_only
MUC3A,0,1,0,1,stim_induced
NCOR1,1,1,0,2,mixed
NDFIP2,1,0,0,1,rest_only
NDUFV1,1,0,0,1,rest_only
NIPA1,0,0,1,1,stim_induced
NSD3,0,0,1,1,stim_induced
NUDT8,0,1,1,2,stim_induced
OAS2,0,0,1,1,stim_induced
PITPNC1,1,0,0,1,rest_only
PLSCR1,1,0,0,1,rest_only
PLXND1,1,0,0,1,rest_only
PPT1,0,1,0,1,stim_induced
PRR34,1,0,0,1,rest_only
PSAP,1,0,0,1,rest_only
RAB21,1,1,1,3,constitutive
RABEPK,1,0,0,1,rest_only
RARA,0,1,0,1,stim_induced
RBBP7,1,0,0,1,rest_only
RBM10,1,0,0,1,rest_only
RBM41,0,1,0,1,stim_induced
RBM6,1,0,0,1,rest_only
RELL2,0,1,0,1,stim_induced
RHBDL1,1,0,0,1,rest_only
RNH1,1,0,0,1,rest_only
RPS6KA5,1,0,0,1,rest_only
RPUSD4,1,0,0,1,rest_only
SACM1L,0,0,1,1,stim_induced
SEC23A,0,1,0,1,stim_induced
SGO2,1,0,0,1,rest_only
SLC1A6,0,0,1,1,stim_induced
SLC25A27,0,0,1,1,stim_induced
SLC33A1,0,1,0,1,stim_induced
SLC41A1,0,0,1,1,stim_induced
SNX13,1,0,0,1,rest_only
SPDYE3,1,0,0,1,rest_only
SRD5A3,1,0,0,1,rest_only
SSR1,1,0,0,1,rest_only
STAT5A,0,1,0,1,stim_induced
STK35,0,1,0,1,stim_induced
STK38,1,1,0,2,mixed
TAF1,1,0,1,2,mixed
TMEM263,1,0,0,1,rest_only
TPT1,1,1,0,2,mixed
TSC22D1,1,0,0,1,rest_only
TSPYL1,1,0,0,1,rest_only
UBA6,0,0,1,1,stim_induced
UFC1,1,0,0,1,rest_only
UNC5CL,1,0,0,1,rest_only
USP33,1,0,0,1,rest_only
UST,1,0,0,1,rest_only
ZC3H11A,0,1,0,1,stim_induced
ZC3HAV1L,1,0,0,1,rest_only
ZFP92,1,1,0,2,mixed
ZNF440,0,0,1,1,stim_induced
ZSWIM6,0,1,0,1,stim_induced
ZUP1,0,0,1,1,stim_induced
ZYG11B,0,0,1,1,stim_induced
