target_gene,bucket,real_score,culture_condition,th2_arm,th1_arm,th2_resid,consistency,donor_confirmed,target_class,druggable,tier,n_total_de_genes,ontarget_effect_size,frac_signif_guides,crossdonor_correlation_mean,crossguide_correlation
GATA3,known_calibration,0.9297672199784004,Stim8hr,-3.702718354242077,-0.34217291073168576,-3.517765563658356,1.0,True,TF,False,core,1239,-19.995103304780407,1.0,0.7249957295791297,0.8015477097391002
AHSA1,novel_candidate,0.9005809132792926,Rest,-2.112781204548761,0.7803241742132735,-2.534565422569028,1.0,True,other,False,confident,63,-18.84058285108067,1.0,0.8474528809084964,0.9588669586564998
ARNT,novel_candidate,0.8284479304770966,Stim48hr,-2.5142280481095165,0.147725437230325,-2.5940772442294677,0.6666666666666666,True,TF,False,core,2947,-19.14767371704712,1.0,0.7795996739351114,0.881332895629096
RAB21,novel_candidate,0.8256860054646071,Rest,-2.7647255187434236,0.3191396979326518,-2.93722829692207,1.0,False,other,False,core,13,-25.519637280435724,1.0,,
ELAVL1,novel_candidate,0.8136579965948256,Stim48hr,-2.6816322592219826,-0.622683759654985,-2.345056524009382,1.0,True,other,False,confident,2008,-46.69939837157333,1.0,0.6519898615577651,0.7152653877333305
GPATCH8,novel_candidate,0.7871860538900217,Rest,-2.1830093924135,-0.45692176981929516,-1.9360320492163967,1.0,True,other,False,confident,58,-12.208717383048704,1.0,0.8184036042418462,0.6941804010057178
HNRNPA2B1,novel_candidate,0.7744142177686881,Rest,-2.313426927269916,0.20214637366840157,-2.422691964751705,1.0,True,other,False,confident,148,-27.03167487574609,1.0,0.4147395647858216,0.492020200897507
STK35,novel_candidate,0.7694582630774545,Stim8hr,-2.1083222839885924,-0.5368860519699489,-1.818122299059968,1.0,True,kinase,True,confident,34,-11.277928049118476,1.0,0.901628568053956,
UFC1,novel_candidate,0.7663060205208789,Rest,-2.4141810743502847,-0.48921941935012664,-2.1497460650940865,1.0,True,other,False,confident,123,-19.08702584598323,1.0,0.4063249724257274,0.4319221369288637
ARL1,novel_candidate,0.7559615902688606,Stim48hr,-2.2864790805346544,-0.8254632988550069,-1.840296066452061,1.0,True,other,False,confident,137,-17.445296968110426,1.0,0.2731736462511995,
MIA2,novel_candidate,0.7355335607264721,Rest,-2.014897750763246,-0.5643047803176533,-1.7098772754827671,1.0,True,other,False,confident,53,-11.604567803615726,1.0,0.5651379800380927,0.9951714337379508
KDM2A,novel_candidate,0.7244695668008332,Stim48hr,-2.2224529815007092,-0.9241675621684284,-1.7229179095264178,1.0,True,TF,False,confident,190,-12.916592578418902,1.0,0.7026753269057416,0.7388088239333075
SSR1,novel_candidate,0.7175596553650889,Rest,-2.5848490658854297,-0.848376939283667,-2.1262806711756834,1.0,False,other,False,confident,27,-11.059318880767613,1.0,,
RARA,known_calibration,0.706103667907407,Stim8hr,-2.0386124103133825,0.9282622582729324,-2.5403607652430686,0.6666666666666666,False,TF,False,confident,21,-16.49006187917168,1.0,,
AMBRA1,novel_candidate,0.70380026354169,Stim48hr,-2.5741126980480873,-0.6437454073130555,-2.2261526293991505,0.3333333333333333,True,other,False,confident,608,-14.572786545752669,1.0,0.7038100655352464,0.8824990935468199
STAT5A,novel_candidate,0.7004849860409967,Stim8hr,-2.294070993842508,-0.5473395267412032,-1.998220651244991,1.0,False,TF,False,confident,19,-23.76705479015187,1.0,,
COMMD1,novel_candidate,0.7003023669405537,Stim48hr,-2.2185556525963617,-0.41016587707435603,-1.9968510079916688,1.0,False,other,False,confident,22,-14.782762069104985,1.0,,
IL2RA,novel_candidate,0.6854533546314416,Stim8hr,-2.1060881015267996,-0.40813089243637013,-1.8854834156733289,1.0,False,other,False,confident,10,-16.182706665204417,1.0,,
IFT172,novel_candidate,0.6561997306728186,Stim48hr,-2.060598396795249,-0.6680220856535963,-1.6995161923361304,1.0,True,other,False,confident,62,-7.449433608879485,1.0,0.2734692391190165,0.516463295473188
SRD5A3,novel_candidate,0.6477252587520895,Rest,-2.0151343180016092,0.7382958586345613,-2.414201208010158,0.6666666666666666,True,other,False,confident,54,-9.764316188921846,1.0,0.4216807357540214,0.2986260853708043
MPG,novel_candidate,0.6377584406377131,Stim48hr,-2.2144139673288135,-0.34036255809757454,-2.030439716428153,1.0,True,other,False,confident,166,-11.7322816172389,1.0,0.5271946437286942,
