target_gene,culture_condition,th2_arm,th1_arm,tier,gate_robustness,ontarget_significant,ontarget_effect_size,frac_signif_guides,crossdonor_correlation_mean,crossguide_correlation,offtarget_flag,n_total_de_genes,broad_effect_flag,target_class,donor_stable,kd_ok,passes_all
GATA3,Stim8hr,-3.702718354242077,-0.34217291073168576,core,9,True,-19.995103304780407,1.0,0.7249957295791297,0.8015477097391002,False,1239,True,TF,True,True,True
NCOR1,Stim8hr,-3.517502970293418,-0.10540205644385801,core,9,True,-29.076744624973585,1.0,0.6839331326720973,0.7257768371473894,True,1924,True,other,True,True,False
GATA3,Rest,-3.2680832471044345,0.48868487473377575,core,9,True,-16.196718732294897,1.0,0.678728518495347,0.8189334533764884,False,888,True,TF,True,True,True
RAB21,Stim8hr,-3.2047080626810085,-0.7000889925950552,confident,6,True,-30.96000645687284,1.0,,,False,9,False,other,False,True,False
RELL2,Stim8hr,-3.0721618991721518,0.23745609976969023,core,9,True,-4.424988925363419,1.0,0.5613929281270348,0.5560268108186857,True,739,True,other,True,True,False
TSPYL1,Rest,-2.9884045448140446,-0.8315169876983342,confident,6,True,-9.552339719070863,1.0,,,False,2,False,other,False,True,False
PLXND1,Rest,-2.8371905928447534,-0.29195238852883715,core,9,False,-0.5664241473061464,0.5,,,False,0,False,other,False,False,False
UNC5CL,Rest,-2.78913387020732,0.5535350693361664,confident,6,False,-1.235088580676092,0.5,,,False,0,False,other,False,False,False
ARL1,Rest,-2.7823683537168953,-0.18970540587477666,core,9,True,-12.17808399238702,1.0,,,False,1,False,other,False,True,False
RAB21,Rest,-2.7647255187434236,0.3191396979326518,core,9,True,-25.519637280435724,1.0,,,False,13,False,other,False,True,False
TPT1,Rest,-2.720447222741267,-0.7247815398594573,confident,6,False,0.0,0.0,0.3939803574241332,0.8323121531568244,False,979,True,other,True,False,False
SLC25A27,Stim48hr,-2.710769967885345,-0.7071094573979751,confident,6,False,0.0,0.0,0.0960577292633473,-0.1163632700284063,False,140,False,other,True,False,False
ELAVL1,Stim48hr,-2.6816322592219826,-0.622683759654985,confident,6,True,-46.69939837157333,1.0,0.6519898615577651,0.7152653877333305,False,2008,True,other,True,True,True
ZYG11B,Stim48hr,-2.6629420564928625,-0.12216237838724503,core,9,True,-10.145361433385006,1.0,,,False,1,False,E3_ligase,False,True,False
DNAJB9,Stim8hr,-2.6307924732643864,-0.1974986874390874,core,9,True,-12.845344269528365,1.0,0.5241254172660984,0.93140804720518,True,118,False,other,True,True,False
AKR1C1,Rest,-2.629969259612566,0.6006925418982301,confident,6,False,0.0,0.0,0.232405806903426,,False,1775,True,other,True,False,False
ALAS2,Stim48hr,-2.6290917890564325,-0.6068216969082135,confident,6,False,0.0,0.0,,,False,1,False,other,False,False,False
SSR1,Rest,-2.5848490658854297,-0.848376939283667,confident,6,True,-11.059318880767613,1.0,,,False,27,False,other,False,True,False
AMBRA1,Stim48hr,-2.5741126980480873,-0.6437454073130555,confident,6,True,-14.572786545752669,1.0,0.7038100655352464,0.8824990935468199,False,608,True,other,True,True,True
TAF1,Rest,-2.568255417219274,-0.19918202412868555,core,9,False,-3.127177034008978,1.0,,,False,1,False,other,False,False,False
PSAP,Rest,-2.5575726626859665,-0.6957855495956575,confident,6,True,-18.831639941418253,1.0,,,False,1,False,other,False,True,False
NSD3,Stim48hr,-2.542076646983607,-0.4772458824579036,core,9,False,-0.6575570241935794,0.0,,,False,1,False,other,False,False,False
ARNT,Stim48hr,-2.5142280481095165,0.147725437230325,core,9,True,-19.14767371704712,1.0,0.7795996739351114,0.881332895629096,False,2947,True,TF,True,True,True
TPT1,Stim8hr,-2.4670636693952197,-0.47512689420806387,confident,6,False,0.0,0.0,0.471590901212113,0.6677932097346804,False,931,True,other,True,False,False
HNRNPAB,Rest,-2.436175549775924,-0.7159996051860026,confident,4,True,-18.66961092908576,1.0,,,False,4,False,other,False,True,False
SNX13,Rest,-2.4268491645225536,-0.705658387809515,confident,4,True,-16.957589134455386,1.0,,,False,1,False,other,False,True,False
UFC1,Rest,-2.4141810743502847,-0.48921941935012664,confident,6,True,-19.08702584598323,1.0,0.4063249724257274,0.4319221369288637,False,123,False,other,True,True,True
SLC33A1,Stim8hr,-2.395534671840337,-0.9804232332900029,confident,4,True,-7.134394358948096,1.0,,,False,1,False,other,False,True,False
ZC3H11A,Stim8hr,-2.3933295287907783,-0.9063103093753502,confident,4,False,0.0,0.0,,,False,0,False,other,False,False,False
MAZ,Rest,-2.3769576309277913,-0.6820768127858248,confident,4,False,-2.2283476113204967,0.5,,,False,0,False,TF,False,False,False
LMOD3,Rest,-2.3655892804179857,-0.48574446048071473,confident,6,False,0.0,0.0,,,False,0,False,other,False,False,False
ERRFI1,Rest,-2.340861454442572,-0.7913810701684729,confident,4,False,-0.538309512454429,0.5,,,False,0,False,other,False,False,False
SLC41A1,Stim48hr,-2.3363244805815593,-0.733102674233505,confident,4,True,-13.959495310655472,1.0,,,False,4,False,other,False,True,False
RBM41,Stim8hr,-2.3311041332478037,-0.21613629948849705,confident,6,False,-4.10301295710602,1.0,,,False,0,False,other,False,False,False
ZSWIM6,Stim8hr,-2.325386318069132,-0.9753203006845397,confident,4,True,-7.221639199804216,1.0,,,False,1,False,other,False,True,False
USP33,Rest,-2.324130098909483,0.21668890750874706,confident,6,True,-17.05381742212532,1.0,,,False,2,False,other,False,True,False
TMEM263,Rest,-2.314834143192032,0.3525984458682171,confident,6,True,-13.347948343853403,1.0,,,False,7,False,other,False,True,False
HNRNPA2B1,Rest,-2.313426927269916,0.20214637366840157,confident,6,True,-27.03167487574609,1.0,0.4147395647858216,0.492020200897507,False,148,False,other,True,True,True
RAB21,Stim48hr,-2.3127784833073335,-0.5710169748628848,confident,4,True,-26.05901261925881,1.0,0.5472044295111921,0.1008368425545669,False,128,False,other,True,True,True
AOPEP,Stim8hr,-2.3013470957551068,-0.9206679660343685,confident,4,False,0.0,0.0,,,False,0,False,other,False,False,False
STAT5A,Stim8hr,-2.294070993842508,-0.5473395267412032,confident,4,True,-23.76705479015187,1.0,,,False,19,False,TF,False,True,False
ARL1,Stim48hr,-2.2864790805346544,-0.8254632988550069,confident,4,True,-17.445296968110426,1.0,0.2731736462511995,,False,137,False,other,True,True,True
LGALS2,Rest,-2.281987696101477,-0.9811302644536526,confident,4,False,0.0,0.0,,,False,0,False,other,False,False,False
ITIH4,Rest,-2.275308412521405,-0.820980381540098,confident,4,False,-1.5229230613122653,1.0,,,False,2,False,other,False,False,False
PLSCR1,Rest,-2.250692323565398,-0.9079547166755454,confident,4,True,-15.39592371138458,1.0,,,False,3,False,TF,False,True,False
SACM1L,Stim48hr,-2.235014870318942,-0.5352582206516995,confident,4,True,-5.75903579873691,1.0,,,False,7,False,other,False,True,False
MAGED1,Rest,-2.233551487340422,-0.9484520356520098,confident,4,False,-2.665671364464394,0.0,,,False,0,False,other,False,False,False
NDUFV1,Rest,-2.2253608965805878,-0.9822308596595789,confident,4,True,-23.299424188178424,1.0,,,False,3,False,other,False,True,False
KDM2A,Stim48hr,-2.2224529815007092,-0.9241675621684284,confident,4,True,-12.916592578418902,1.0,0.7026753269057416,0.7388088239333075,False,190,False,TF,True,True,True
COMMD1,Stim48hr,-2.2185556525963617,-0.41016587707435603,confident,6,True,-14.782762069104985,1.0,,,False,22,False,other,False,True,False
MPG,Stim48hr,-2.2144139673288135,-0.34036255809757454,confident,6,True,-11.7322816172389,1.0,0.5271946437286942,,False,166,False,other,True,True,True
PITPNC1,Rest,-2.2000368573856908,0.12277611460788539,confident,6,True,-7.287201672937975,1.0,,,False,3,False,other,False,True,False
RBBP7,Rest,-2.1966959847300216,-0.5316728270548258,confident,4,True,-18.96430560263347,1.0,,,False,1,False,other,False,True,False
KCTD12,Stim8hr,-2.195757868346599,-0.8691024126709709,confident,4,True,-6.431399550065219,1.0,,,False,3,False,E3_ligase,False,True,False
CCL22,Stim48hr,-2.1954098181235264,-0.6192961158940988,confident,4,False,0.0,0.0,,,False,0,False,other,False,False,False
